[3.17942530e-01 6.63877964e-01 1.20243389e-08],[ 0.32906446  0.6753425  -0.00929747],[ 0.33329302  0.69357562 -0.01083472],[ 0.3345412   0.71108907 -0.01018363],[ 0.33681589  0.72521138 -0.00846737],[ 0.31953502  0.70684606 -0.00194357],[3.22235644e-01 7.26562023e-01 1.53710178e-04],[0.32881278 0.73077536 0.00090765],[0.33312899 0.72918069 0.00165663],[0.3152979  0.70465773 0.00424453],[0.31939745 0.72252041 0.00848482],[0.32681233 0.72620434 0.00927084],[0.33208561 0.72447556 0.00908457],[0.3139213  0.70154083 0.00954261],[0.31833282 0.71667856 0.0128132 ],[0.32463661 0.71968663 0.0127169 ],[0.32975915 0.71889716 0.01192259],[0.31396833 0.69946074 0.0140774 ],[0.31803352 0.71208239 0.01611352],[0.32286677 0.71517509 0.01646347],[0.32729477 0.71452457 0.01647901]
[ 3.25198352e-01  6.28078401e-01 -1.08308171e-07],[ 0.34034702  0.62773436 -0.00430161],[ 0.35186243  0.63847101 -0.00663171],[ 0.35786316  0.65288001 -0.00790525],[ 0.36182681  0.66412097 -0.00840812],[ 0.34244964  0.65517753 -0.00972775],[ 0.35086444  0.6762042  -0.01223229],[ 0.35756415  0.67470777 -0.01179662],[ 0.35984883  0.66913319 -0.01082567],[ 0.33480287  0.66166925 -0.00818585],[ 0.34688389  0.68230498 -0.01063027],[ 0.3546212   0.67798001 -0.00933942],[ 0.35632151  0.67107618 -0.00802798],[ 0.32964545  0.66491157 -0.00661043],[ 0.34144223  0.68382919 -0.00849689],[ 0.34798822  0.67907423 -0.00682875],[ 0.34954709  0.67199868 -0.00535967],[ 0.32613572  0.6659137  -0.00525777],[ 0.33497325  0.67988968 -0.00636766],[ 0.34071639  0.67879379 -0.00554869],[ 0.34273258  0.67480206 -0.00466381]
[ 3.29470634e-01  6.11913204e-01 -7.50310178e-08],[ 0.34414685  0.6135639  -0.0026009 ],[ 0.35522091  0.62597841 -0.00563761],[ 0.36167657  0.64063108 -0.00791373],[ 0.36807373  0.65114331 -0.00956722],[ 0.34572893  0.63351905 -0.01259474],[ 0.35555491  0.65511733 -0.01740906],[ 0.36115506  0.65752697 -0.01760565],[ 0.36248866  0.65411747 -0.0163267 ],[ 0.33759055  0.64004767 -0.01275775],[ 0.35004121  0.66412866 -0.01749065],[ 0.356121    0.66301352 -0.01576567],[ 0.35669085  0.65727282 -0.01345863],[ 0.33112511  0.64495373 -0.01264972],[ 0.34330299  0.66832    -0.01587018],[ 0.3494854   0.66659725 -0.01237364],[ 0.35044098  0.66102886 -0.00888469],[ 0.32639119  0.6476559  -0.01262903],[ 0.33597308  0.6680429  -0.01368758],[ 0.34195122  0.66879636 -0.01097886],[ 0.34366226  0.66446149 -0.00833062]
[ 3.31536621e-01  6.02117598e-01 -4.67967567e-08],[ 0.34532785  0.60553092 -0.00164067],[ 0.35649672  0.61590338 -0.00410531],[ 0.36284515  0.62814569 -0.00629363],[ 0.36713266  0.63860404 -0.00794915],[ 0.34980723  0.61889321 -0.01077035],[ 0.35846707  0.63871187 -0.01650017],[ 0.36144963  0.64351666 -0.01771695],[ 0.361321    0.64148521 -0.01681878],[ 0.34142917  0.62608641 -0.01148693],[ 0.35090029  0.64945811 -0.01633538],[ 0.35486919  0.65230674 -0.0149976 ],[ 0.35510039  0.64760268 -0.01261128],[ 0.33345851  0.63194072 -0.01204624],[ 0.34205332  0.65455747 -0.01588896],[ 0.34750882  0.6564495  -0.01265533],[ 0.34905609  0.65187401 -0.0088113 ],[ 0.32664934  0.63570881 -0.01263678],[ 0.33292449  0.65549433 -0.01498422],[ 0.33932656  0.65937275 -0.01281448],[ 0.34271872  0.65697873 -0.00989453]
[3.32005352e-01 6.02210164e-01 2.63206807e-08],[ 0.34525684  0.60620934 -0.00111704],[ 0.35764953  0.61658984 -0.00374304],[ 0.36604604  0.62894839 -0.00602633],[ 0.37108758  0.63889331 -0.00747963],[ 0.3547855   0.61491263 -0.01167619],[ 0.36334804  0.63610369 -0.01768703],[ 0.36318055  0.6443643  -0.01872745],[ 0.35959846  0.64238942 -0.01755442],[ 0.3460331   0.61980194 -0.01284525],[ 0.35377651  0.6446141  -0.0185918 ],[ 0.35435376  0.65116316 -0.01754635],[ 0.35292894  0.64782739 -0.01528156],[ 0.33676118  0.62477785 -0.01367627],[ 0.34349555  0.64965105 -0.01802036],[ 0.34537551  0.65406096 -0.01466135],[ 0.34585208  0.64982557 -0.01075433],[ 0.32809511  0.62882406 -0.01443468],[ 0.33277142  0.65047419 -0.0173556 ],[ 0.33671895  0.65581876 -0.01527535],[ 0.33941785  0.65346217 -0.01234783]
[3.29627842e-01 6.03623211e-01 7.39520729e-08],[ 0.34273401  0.60747594 -0.00149297],[ 0.3557221  0.6165641 -0.0047451],[ 0.36465493  0.62770754 -0.00761256],[ 0.36892012  0.63748342 -0.01016366],[ 0.35386589  0.61376482 -0.01202699],[ 0.36233327  0.62940574 -0.0184967 ],[ 0.36256126  0.64074767 -0.02164971],[ 0.35951009  0.64584774 -0.02275334],[ 0.34561917  0.61753219 -0.01358502],[ 0.35227597  0.63968068 -0.01945285],[ 0.3517271   0.64981854 -0.02035132],[ 0.34917277  0.65089685 -0.02020232],[ 0.3361721   0.6217705  -0.01472105],[ 0.34219524  0.64430559 -0.01925669],[ 0.34246826  0.65266573 -0.01813963],[ 0.34198484  0.65227944 -0.01656491],[ 0.32707945  0.6257863  -0.0157284 ],[ 0.33087015  0.64487827 -0.01894106],[ 0.33328113  0.65204185 -0.01805153],[ 0.33509415  0.65271062 -0.01659404]
[3.27825606e-01 6.04489744e-01 7.66887780e-08],[ 0.33979785  0.60842347 -0.00086648],[ 0.35247475  0.61954129 -0.00385255],[ 0.36080456  0.63264209 -0.00667163],[ 0.36652002  0.64273357 -0.00915857],[ 0.353535    0.61390007 -0.0102819 ],[ 0.36226636  0.63020581 -0.0164679 ],[ 0.36079836  0.64179289 -0.01972358],[ 0.35675704  0.64684874 -0.02111293],[ 0.34568888  0.61671156 -0.01260401],[ 0.35189617  0.63726741 -0.01820609],[ 0.35088417  0.6481297  -0.01944122],[ 0.34815484  0.65095425 -0.01985291],[ 0.33600965  0.62041962 -0.01466576],[ 0.34111264  0.6409235  -0.01896596],[ 0.34083578  0.65091348 -0.01835664],[ 0.33982584  0.65368676 -0.01754637],[ 0.32618845  0.62490356 -0.01661979],[ 0.32944125  0.64197642 -0.01965744],[ 0.33107159  0.65041327 -0.01905522],[ 0.33211148  0.65439218 -0.01814334]
[3.26754510e-01 6.07840598e-01 8.41231653e-08],[ 0.33869746  0.61247313 -0.00138235],[ 0.35119459  0.62307841 -0.00503846],[ 0.35952997  0.63521403 -0.0083051 ],[ 0.36525932  0.64473689 -0.01116284],[ 0.35145345  0.61540377 -0.01354883],[ 0.36118978  0.63093263 -0.02041715],[ 0.35948762  0.64301753 -0.0233026 ],[ 0.35496053  0.64846617 -0.0243123 ],[ 0.34376273  0.61744714 -0.01593133],[ 0.35105959  0.63735408 -0.02231032],[ 0.35062486  0.64898664 -0.0230685 ],[ 0.34779879  0.65256739 -0.02312344],[ 0.33442891  0.62102592 -0.01799403],[ 0.34034213  0.64019108 -0.02293503],[ 0.34052798  0.65114534 -0.02204844],[ 0.33958545  0.65515202 -0.02102712],[ 0.32527408  0.62566942 -0.01997834],[ 0.3287864   0.64210868 -0.02360278],[ 0.33091417  0.651474   -0.02320271],[ 0.33216837  0.65715545 -0.02244163]
[3.24603349e-01 6.09655499e-01 1.00063616e-07],[ 0.33639014  0.61540598 -0.00140799],[ 0.34890726  0.62724251 -0.00517308],[ 0.35750702  0.63997221 -0.00852455],[ 0.363644    0.64957869 -0.01143578],[ 0.35064799  0.61595845 -0.01432227],[ 0.36207047  0.62804407 -0.02130584],[ 0.36189434  0.64129037 -0.02409967],[ 0.35832059  0.64831448 -0.02508285],[ 0.34321877  0.61699033 -0.0168664 ],[ 0.35220745  0.63590062 -0.02384865],[ 0.35175014  0.64814389 -0.02484624],[ 0.34893396  0.65198183 -0.02487514],[ 0.33409235  0.62069964 -0.01901647],[ 0.34173217  0.63933033 -0.02458418],[ 0.3420549   0.65078348 -0.02373374],[ 0.34104741  0.6551578  -0.0225047 ],[ 0.32496104  0.62581575 -0.02107523],[ 0.32933772  0.64218563 -0.02513232],[ 0.33180618  0.65218914 -0.02485609],[ 0.33341575  0.65858829 -0.02404404]
[3.25893074e-01 6.08467698e-01 9.30504598e-08],[ 0.33828896  0.61438674 -0.00138486],[ 0.35067344  0.62655139 -0.00519122],[ 0.35951856  0.63941503 -0.00861661],[ 0.36584502  0.6491788  -0.01165606],[ 0.35140216  0.61600095 -0.01412627],[ 0.36316863  0.6283924  -0.02088876],[ 0.36314845  0.64118952 -0.02348201],[ 0.35995916  0.64786881 -0.02440249],[ 0.34407449  0.61757606 -0.01666944],[ 0.35354623  0.6371699  -0.02342412],[ 0.35304084  0.64889657 -0.02427053],[ 0.35017294  0.65250075 -0.02432575],[ 0.33533731  0.62161142 -0.01883857],[ 0.34280959  0.64032006 -0.02420155],[ 0.34295666  0.65142542 -0.02336657],[ 0.34159917  0.65597123 -0.0222526 ],[ 0.32661217  0.62709469 -0.02091772],[ 0.33113024  0.64326388 -0.02457179],[ 0.33368558  0.65323406 -0.02417901],[ 0.33518785  0.65984178 -0.02345794]
[3.28049719e-01 6.09846532e-01 7.88430015e-08],[ 0.34005663  0.61384588 -0.00125902],[ 0.35234889  0.6247384  -0.00456902],[ 0.36109862  0.63695937 -0.00754259],[ 0.3671549   0.64632821 -0.01027194],[ 0.35216865  0.61918437 -0.0123552 ],[ 0.36268482  0.63318348 -0.01851848],[ 0.36284202  0.64516723 -0.0212529 ],[ 0.35950771  0.65164244 -0.02229304],[ 0.34446144  0.62295228 -0.01452774],[ 0.35212314  0.64379376 -0.02045389],[ 0.3523013   0.65432775 -0.02110745],[ 0.35004342  0.65672314 -0.02101323],[ 0.33508891  0.62795645 -0.01635287],[ 0.34155756  0.64777398 -0.02094516],[ 0.3424384   0.65708625 -0.01983482],[ 0.34193754  0.65937382 -0.01852523],[ 0.32588163  0.63384354 -0.01805818],[ 0.3306379   0.65094566 -0.02101961],[ 0.33394206  0.65901327 -0.02008337],[ 0.33621672  0.66264921 -0.01891292]
[3.29064429e-01 6.15170240e-01 6.38348894e-08],[ 0.34235483  0.61810607 -0.00242919],[ 0.35426727  0.62902421 -0.00548038],[ 0.36319259  0.64002007 -0.00768138],[ 0.36954331  0.64817297 -0.00936763],[ 0.35015753  0.62874418 -0.01362403],[ 0.36047927  0.64186954 -0.0201463 ],[ 0.36238611  0.65079868 -0.02251288],[ 0.35987243  0.65329885 -0.02258037],[ 0.34185991  0.63457721 -0.01402382],[ 0.34945965  0.65228832 -0.0193177 ],[ 0.35263589  0.66046208 -0.01900926],[ 0.35294843  0.6603955  -0.01796381],[ 0.33335972  0.64005303 -0.01416855],[ 0.34000823  0.6588822  -0.01852909],[ 0.34419703  0.66626132 -0.01701421],[ 0.34625345  0.66493344 -0.0149374 ],[ 0.32584313  0.64485431 -0.01422221],[ 0.33090612  0.66253841 -0.01754919],[ 0.33571184  0.66903245 -0.01677823],[ 0.33925977  0.66899502 -0.01511978]
[3.32983822e-01 6.20495796e-01 3.12118260e-08],[ 0.34707254  0.62047511 -0.00298023],[ 0.35829636  0.63050324 -0.00546819],[ 0.3660852   0.64328134 -0.00698667],[ 0.37308094  0.65242547 -0.0080044 ],[ 0.35042787  0.63715476 -0.01081211],[ 0.35885805  0.65264243 -0.01492193],[ 0.36390615  0.65734321 -0.01562896],[ 0.36578679  0.65592402 -0.01506225],[ 0.34298018  0.64479268 -0.01058523],[ 0.35088503  0.66166079 -0.01425604],[ 0.35724485  0.66650116 -0.01426072],[ 0.36100462  0.66470867 -0.01387019],[ 0.33682808  0.65073121 -0.01021882],[ 0.34345192  0.66849184 -0.0131411 ],[ 0.35005474  0.67351788 -0.01294452],[ 0.35482502  0.67227983 -0.01230026],[ 0.33180705  0.65458566 -0.00983403],[ 0.33626598  0.67098188 -0.01249535],[ 0.34174383  0.67710721 -0.01291443],[ 0.34669626  0.6778723  -0.01259693]
[3.36968929e-01 6.21467412e-01 1.16967591e-09],[ 0.34907004  0.61768848 -0.00521655],[ 0.35916758  0.62365007 -0.00844127],[ 0.36533228  0.63517308 -0.01026749],[ 0.36934507  0.64486772 -0.01125164],[ 0.35107625  0.63914675 -0.01224478],[ 0.35999116  0.65599322 -0.01707741],[ 0.3681002   0.6589222  -0.01806915],[ 0.37279609  0.65640628 -0.01751256],[ 0.3453455   0.64713454 -0.01082907],[ 0.35609961  0.66451484 -0.01568273],[ 0.36480042  0.66836864 -0.01550037],[ 0.36974168  0.66635549 -0.01433908],[ 0.34147853  0.65239704 -0.00955925],[ 0.35127234  0.6687153  -0.01344938],[ 0.35907856  0.67339849 -0.01314496],[ 0.36449018  0.67302006 -0.01187981],[ 0.33899131  0.65498263 -0.00848682],[ 0.34539479  0.66960847 -0.01174297],[ 0.35136658  0.67600811 -0.01235806],[ 0.35653341  0.67810208 -0.0118493 ]
[ 3.42593908e-01  6.22304916e-01 -4.35627889e-08],[ 0.35279936  0.61803228 -0.00767096],[ 0.36276737  0.62503433 -0.0107965 ],[ 0.36899036  0.63806093 -0.01221632],[ 0.37345195  0.64725757 -0.01257995],[ 0.35348582  0.64430326 -0.01172592],[ 0.36233211  0.66237968 -0.01622895],[ 0.37080005  0.66065878 -0.01762532],[ 0.37507716  0.65526587 -0.01768423],[ 0.35081601  0.65074492 -0.00888259],[ 0.36271828  0.66785526 -0.01319308],[ 0.37223282  0.6646983  -0.01329282],[ 0.3763262   0.65766561 -0.01246333],[ 0.35037702  0.65401322 -0.00653458],[ 0.36180642  0.66851145 -0.00997308],[ 0.37015191  0.6651625  -0.00992472],[ 0.37450519  0.65910363 -0.00907133],[ 0.3509922   0.65486443 -0.004721  ],[ 0.35998365  0.66521198 -0.00787797],[ 0.3674351   0.66485214 -0.00887091],[ 0.37238041  0.66115057 -0.00878608]
[ 3.59874129e-01  6.24595165e-01 -9.32283939e-08],[ 0.35933378  0.62876111 -0.00912595],[ 0.36316431  0.63913763 -0.01246812],[ 0.36874157  0.64799225 -0.01468787],[ 0.37283662  0.65563595 -0.01586902],[ 0.36444908  0.65995336 -0.00564175],[ 0.37044725  0.67165262 -0.01152907],[ 0.3738085   0.66319966 -0.01540449],[ 0.37327096  0.65463871 -0.01706717],[ 0.37003279  0.65974832 -0.00283461],[ 0.37772346  0.67210269 -0.0091523 ],[ 0.38132754  0.66110283 -0.01231504],[ 0.37915322  0.65203631 -0.01270137],[ 0.37442973  0.65776682 -0.00127909],[ 0.38191518  0.66792655 -0.00700206],[ 0.38456598  0.65778422 -0.00915054],[ 0.38179812  0.65015018 -0.00876132],[ 3.77396196e-01  6.54854178e-01 -4.28457075e-04],[ 0.38384399  0.66123539 -0.00410426],[ 0.38634482  0.6553067  -0.00522075],[ 0.38406351  0.65004438 -0.00477453],[ 3.54903847e-01  6.22882307e-01 -1.91784260e-08],[ 0.35672277  0.62736404 -0.01046643],[ 0.36216992  0.63940132 -0.01309452],[ 0.36869994  0.64947689 -0.01395276],[ 0.3736566   0.65766984 -0.01376429],[ 0.36399275  0.65879089 -0.00473623],[ 0.37069765  0.66881645 -0.0094478 ],[ 0.37394735  0.66205364 -0.01273387],[ 0.37324613  0.65388894 -0.01376574],[ 3.68665755e-01  6.57920301e-01 -2.70238932e-04],[ 0.37749732  0.66867238 -0.00498077],[ 0.38110232  0.66099536 -0.00752177],[ 0.37898919  0.65263367 -0.00743148],[0.37208137 0.65531057 0.00278778],[ 0.38052982  0.66423273 -0.00217424],[ 0.38391134  0.65674233 -0.00432104],[ 0.38164008  0.65011859 -0.00376961],[0.37398079 0.65201062 0.0050786 ],[0.38176063 0.65728414 0.00120968],[ 3.84513378e-01  6.53196990e-01 -2.52705970e-04],[3.82661015e-01 6.49088264e-01 2.66644871e-04]
[ 3.54729146e-01  6.22536659e-01 -2.48459600e-08],[ 0.36321771  0.62621772 -0.00398898],[ 0.36813807  0.63821459 -0.00580415],[ 0.37015846  0.65000302 -0.00724911],[ 0.37062502  0.65873396 -0.00813521],[ 0.36765081  0.65590233 -0.00290652],[ 0.37794131  0.66485471 -0.00655084],[ 0.37886393  0.66340387 -0.00931192],[ 0.37503642  0.66078782 -0.01051669],[ 0.36671659  0.65894014 -0.00215637],[ 0.37813592  0.66798419 -0.00522351],[ 0.37923348  0.66746306 -0.00748476],[ 0.37491015  0.6648103  -0.00839533],[ 0.36527732  0.66011143 -0.0019294 ],[ 0.37551647  0.66982025 -0.00531064],[ 0.3772271   0.66845125 -0.00649147],[ 0.37393793  0.66527045 -0.00640457],[ 0.36408818  0.65973455 -0.0019748 ],[ 0.37265447  0.66650009 -0.00484156],[ 0.37479857  0.6659323  -0.00515715],[ 0.37314022  0.66369015 -0.00440869]
